Cell Type	Z-score	Cluster
Pro-neutrophil	-0.3102109242325375	0
Portal vein epithelial cell	-0.3102109242325375	0
Distal cell	-0.3102922134776649	0
Naive B cell	-0.31107673032827293	0
Inflammatory fibroblast	-0.31118750328219297	0
Early CD34+ megakaryocyte-erythroid progenitor cell	-0.31128156572853916	0
CD34+ megakaryocyte-erythroid progenitor cell	-0.31128156572853916	0
Non-β endocrine cell	-0.3116105810059118	0
Limbal stem cell	-0.3116105810059118	0
Mature neutrophil	-0.3116105810059118	0
Oligodendrocyte‐like cell	-0.3116696103142659	0
Naive human pluripotent stem cell	-0.31182552369545175	0
8-cell stage cell (Blastomere)	-0.31219006295728613	0
CLEC10A+ dendritic cell	-0.3124770471601123	0
Retinal pigment epithelial cell	-0.3124770471601123	0
Immature neutrophil	-0.3124770471601123	0
Monocyte derived dendritic cell	-0.3124770471601123	0
CLEC9A+ dendritic cell	-0.3124770471601123	0
Endocrine cell	-0.3126791606833766	0
Regulatory chondrocyte	-0.31323248226271866	0
Myeloid dendritic cell	-0.31399645071967536	0
Activated memory B cell	-0.31399645071967536	0
Lake et al.Science.Ex1	-0.3142122355187183	0
Mature B cell	-0.31459087270758856	0
Neurogenic retinal progenitor cell	-0.3147479501619577	0
Thymus seeding progenitor (TSP)	-0.31494779479597457	0
Cycling transient-amplifying cell	-0.31541623450274336	0
Proliferative lymphocyte	-0.31541623450274336	0
Macroglial cell	-0.3158649728634571	0
Mononuclear phagocyte	-0.3158649728634571	0
Sinusoidal cell	-0.3160593092190514	0
Natural regulatory T cell	-0.3160593092190514	0
Naive T(Th0) cell	-0.3160593092190514	0
Spermatogonium	-0.3160593092190514	0
CD4+ T cell	-0.3161044154088707	0
Oogenesis phase fetal germ cell	0.49674677709551807	1
Natural killer T (NKT) cell	3.7927150982795403	10
Gonadal endothelial cell	0.1777354520033452	10
Microglial cell	0.06286971749037941	10
Naive CD8+ T cell	0.050421103759385535	10
SLC16A7+ cell	0.039892683049320435	10
Leydig cell	0.035088502529432575	10
FGFR1LowNME5- epithelial cell	-0.3458040791127404	10
Liver bud hepatic cell	-0.3627146845382232	10
Meiotic prophase fetal germ cell	-0.3666797067721038	10
T helper(Th) cell	-0.37267901166884015	10
Oogenesis phase fetal germ cell	-0.3807396464569064	10
Secretory progenitor cell	-0.3829942051660745	10
Sertoli cell	-0.3851276253998341	10
Beta cell(β cell)	-0.39049589949917	10
Brush cell (Tuft cell)	-0.39049589949917	10
Neuroendocrine cell	-0.39049589949917	10
Naive T(Th0) cell	-0.39049589949917	10
Monocyte	13.368782916225486	11
Macrophage	7.197977551099905	11
Microglial cell	6.281685858301242	11
Myeloid cell	3.179098055710024	11
Dendritic cell	2.843213935103785	11
Neutrophil	2.7523941308511213	11
B cell	1.452484504622738	11
Natural killer T (NKT) cell	0.8642432980269825	11
Astrocyte	0.8147779433122925	11
CD14+ monocyte	0.8065137692514842	11
Natural killer cell	0.7928732675395085	11
Paneth cell	0.7909477091808549	11
Classical monocyte	0.7681799156620867	11
M1 macrophage	0.7015171206073111	11
Endothelial cell	0.6927811099203787	11
CD1C-CD141- dendritic cell	0.6096608529871762	11
