Cell Type	Z-score	Cluster
Naive CD4+ T cell	-0.23223877653411495	11
Proliferative chondrocyte	-0.23223877653411495	11
Naive CD8+ T cell	-0.23223877653411495	11
Squamous epithelial cell	-0.23231838550452527	11
Effector CD8 T cell	-0.2329131380720786	11
Effector memory CD8+ T cell	-0.2329131380720786	11
Activated effector cell	-0.2329131380720786	11
M1 macrophage	-0.2329131380720786	11
CD8+ T cell	-0.2329131380720786	11
Cytotoxic CD8 T cell	-0.2329131380720786	11
SLC16A7+ cell	-0.2329131380720786	11
NK and T cell	-0.2329131380720786	11
CD4+ cytotoxic T2 cell	-0.2329131380720786	11
Gamma delta(γδ) T cell	-0.2329131380720786	11
Immune cell	-0.2329131380720786	11
Finally highly effector (TEMRA) memory T cell	-0.2329131380720786	11
Ciliated cell	-0.2330637947848885	11
Brush cell (Tuft cell)	-0.23358132872233273	11
Neuroendocrine cell	-0.23358132872233273	11
Activated B cell	-0.23552557133334598	11
Neural progenitor cell	-0.23552557133334598	11
Lake et al.Science.Ex8	-0.23790305896588806	11
Acinar cell	-0.23847842771570132	11
Epiblast cell	-0.23951181918283224	11
Inflammatory fibroblast	-0.24056837187694646	11
Homeostatic chondrocyte	-0.24056837187694646	11
Memory T cell	-0.24216044709807397	11
Pan-endothelial cell	-0.24216044709807397	11
CD4+ T cell	-0.24276112263829963	11
Monocyte	13.04085998795345	2
Macrophage	6.480086021192312	2
Microglial cell	4.496155284979317	2
Myeloid cell	3.8604271505912124	2
Neutrophil	2.977847840836222	2
Dendritic cell	1.564824793629268	2
Classical monocyte	0.8125843859103646	2
M2 macrophage	0.7617047492179033	2
CD14+ monocyte	0.7418305544829845	2
Astrocyte	0.5577113341096162	2
Paneth cell	0.5096189050296356	2
B cell	0.4740691339721615	2
M1 macrophage	0.39911835945887014	2
Endothelial cell	0.39695610645326695	2
Natural killer cell	0.3450533991017128	2
Kupffer cell	0.3439963440100065	2
Intermediate monocyte	0.3337930851792294	2
Fibroblast	0.31375852323773806	2
CD16+ monocyte	0.2846014537967644	2
Mesenchymal stem cell	0.2497983399118733	2
CD1C-CD141- dendritic cell	0.231617875854124	2
Oligodendrocyte	0.21926433698048817	2
Monocyte-derived macrophage	0.1992500684592713	2
Non-classical monocyte	0.12534860708388137	2
Leukocyte	0.12252271193296396	2
Tumor‐associated macrophage (TAM)	0.11179460768091432	2
Natural killer T(NKT) cell	0.1063438640931052	2
Immune cell	0.09919048553846425	2
Monocyte-derived dendritic cell	0.09716546990440494	2
Mesenchymal stromal cell	0.09132620848043586	2
CD1C+_B dendritic cell	0.08825235854707647	2
Granulocyte	0.08439355228172488	2
Oligodendrocyte progenitor cell	0.08241520529163629	2
Natural killer T (NKT) cell	0.0753700312252389	2
Neuron	0.05979064215306594	2
Histiocyte	0.054195337356358425	2
Mononuclear phagocyte	0.053302032253574015	2
Monocyte Myeloid-derived suppressor cell (M-MDSC)	0.048406374144224086	2
Myeloid derived suppressor cell (MDSC)	0.047750662449856304	2
Cardiomyocyte	0.03864739223879655	2
Alveolar macrophage	0.014135338915090931	2
Dendritic cell lineage	0.0038471710727974616	2
Oligodendrocyte precursor cell	-2.237676786249514e-05	2
CD14 monocyte	-0.01164817547666132	2
CD14+CD16+ monocyte	-0.036543042507339266	2
Multilymphoid progenitor cell	-0.047844265774423196	2
Gonadal endothelial cell	-0.05183631431533368	2
Megakaryocyte	-0.05464417462001446	2
Antigen-presenting cell	-0.05579106866944853	2
Oogenesis phase fetal germ cell	-0.06605814813374934	2
Progenitor cell	-0.07104074259043064	2
Mesenchymal cell	-0.0778484021835388	2
Memory T cell	-0.0783561794951447	2
Mitotic fetal germ cell	-0.08335579680617929	2
Mitotic arrest phase fetal germ cell	-0.08365382692509137	2
Excitatory neuron	-0.08380247078423242	2
Hepatocyte	-0.08681361262623814	2
Naive B cell	-0.08932288040749248	2
Trophectoderm cell	-0.0916233011309714	2
CD4+ T cell	-0.09626389547180006	2
Pan-macrophage	-0.0966742805176779	2
Activated microglial cell	-0.0966742805176779	2
Memory CD4+ T cell	-0.0969624023009384	2
Sertoli cell	-0.1083764647882367	2
Granulocyte-monocyte progenitor	-0.10961347496654666	2
Podocyte	-0.10990184719067514	2
Adipose-derived stem cell	-0.11133744283072217	2
Liver bud hepatic cell	-0.11182138001822688	2
Granulosa cell	-0.11189672487018588	2
Type 3 dendritic cell (DC3)	-0.118743346453494	2
