Cell Type	Z-score	Cluster
Naive progenitor cell	-0.24919717329006413	13
Pre-conventional dendritic cell	-0.24919717329006413	13
Conventional dendritic cell 2-A (cDC2-A)	-0.24919717329006413	13
Polymorphonuclear myeloid-derived suppressor cell	-0.24919717329006413	13
Axl+ CD11c+ Plasmacytoid dendritic cell (CD11c+ Axl+DC)	-0.24919717329006413	13
Conventional dendritic cell	-0.24919717329006413	13
Dendritic cell progenitor	-0.24919717329006413	13
Transitional dendritic cell	-0.24919717329006413	13
Granulocytic myeloid-derived suppressor cell(G-MDSC)	-0.24919717329006413	13
Interneuron	-0.24933576293505202	13
Neural progenitor cell	-0.24933576293505202	13
Cardiac precursor cell	-0.24933576293505202	13
Hypertrophic chondrocyte	-0.24933576293505202	13
Squamous epithelial cell	-0.2493499939708347	13
Oligodendrocyte‐like cell	-0.24950210309981616	13
Early response secretory cell	-0.24950657193763748	13
Artery cell	-0.24950657193763748	13
Memory CD4+ T cell	-0.2496936929906899	13
Effector CD4+ T cell	-0.2496936929906899	13
Inflammatory Dendritic Epidermal Cell (IDEC)	-0.24969783713983074	13
Reticular fibroblast	-0.24969783713983074	13
Stem-cell-derived-alpha cell	-0.24969783713983074	13
Preadipocyte	-0.24969783713983074	13
Activated B cell	-0.24969997667162386	13
Immune oligodendroglial cell(imOLG)	-0.24969997667162386	13
Polymorphonuclear neutrophil(PMN)	-0.24972561041626046	13
Neutrophil lineage	-0.24972561041626046	13
Morula cell (Blastomere)	-0.24985109222886093	13
Human-induced pluripotent stem cell (iPSC)	-0.24985109222886093	13
Tissue resident macrophage	-0.24985109222886093	13
Adipose-derived stromal cell	-0.24985109222886093	13
Primitive endoderm cell	-0.25023292205341624	13
Venular endothelial cell	-0.25041857733416517	13
Cancer stem cell	-0.25041857733416517	13
Neural crest-derived cell	-0.2505175090404589	13
Plasmacytoid dendritic cell(pDC)	-0.2505378177281881	13
Macrophage-dendritic cell progenitor cell	-0.25054576711488086	13
Mono-macrophage	-0.25054576711488086	13
Monocyte-dendritic cell progenitor cell	-0.25054576711488086	13
Migratory langerhans cell	-0.2506167556825816	13
CCR7+ dendritic cell	-0.2506167556825816	13
Inflammatory fibroblast	-0.25080648724887983	13
1-cell stage cell (Blastomere)	-0.25091232194217644	13
Macroglial cell	-0.25091232194217644	13
Corneal epithelial cell	-0.25097480236606845	13
Prehypertrophic chondrocyte	-0.25097480236606845	13
Innate lymphoid cell	-0.25111653893113345	13
Naive CD8+ T cell	-0.2511780895831845	13
B cell	14.830532661204181	14
Naive B cell	3.5757959210604384	14
Plasma cell	3.2521260005054864	14
Dendritic cell	1.3733711706256755	14
Memory B cell	1.1618914335389274	14
Plasmacytoid dendritic cell(pDC)	1.1442673061202102	14
Macrophage	0.9739325760411341	14
Follicular B cell	0.8287419351652188	14
Transitional B cell	0.7495609928946303	14
Monocyte	0.7371651287134318	14
Microglial cell	0.7259411805319389	14
Plasmablast	0.4260463259285907	14
Regulatory B(Breg) cell	0.3651339541492707	14
T follicular helper(Tfh) cell	0.3507700050568178	14
T cell	0.2667247265144631	14
Progenitor cell	0.23254402824421969	14
Immature B cell	0.21169550417593425	14
Cancer stem cell	0.20621535011909103	14
Conventional dendritic cell 2(cDC2)	0.20429431669682158	14
Immune cell	0.1798822846718644	14
T helper 17(Th17) cell	0.155813307277772	14
M1 macrophage	0.14092047225774976	14
